step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,51976,712,0.00469858198500753,1.0,1.0,0.004515022751457834,1.0,1.0,,,,,,
90,52560,720,0.004256018339600966,1.0,1.0,,,,,,,,,
91,53144,728,0.004274617530085594,1.0,1.0,,,,,,,,,
92,53728,736,0.004605454574034569,1.0,1.0,,,,,,,,,
93,54312,744,0.003824147083946785,1.0,1.0,,,,,,,,,
94,54896,752,0.004555974018819882,1.0,1.0,,,,,,,,,
95,55480,760,0.004384978234659071,1.0,1.0,,,,,,,,,
96,56064,768,0.0036207877110016775,1.0,1.0,,,,,,,,,
97,56648,776,0.0042832646228552875,1.0,1.0,0.0037951358604455107,1.0,1.0,,,,,,
98,57232,784,0.0037234728275753856,1.0,1.0,,,,,,,,,
99,57816,792,0.0034663434079887008,1.0,1.0,,,,,,,,,
100,58400,800,0.0044661423637391805,1.0,1.0,,,,,,,,,
101,58984,808,0.0028567095036556283,1.0,1.0,,,,,,,,,
102,59568,816,0.0033233921447904185,1.0,1.0,,,,,,,,,
103,60152,824,0.0033073850802355287,1.0,1.0,,,,,,,,,
104,60736,832,0.003905323227555984,1.0,1.0,,,,,,,,,
105,61320,840,0.0059121241455217365,0.875,0.875,0.002716246498443569,1.0,1.0,,,,,,
106,61904,848,0.010777463878589959,0.875,0.875,,,,,,,,,
107,62488,856,0.0033820902853343975,1.0,1.0,,,,,,,,,
108,63072,864,0.0035411817897103817,1.0,1.0,,,,,,,,,
109,63656,872,0.010309584663969295,0.75,0.75,,,,,,,,,
110,64240,880,0.005535695302513934,0.875,0.875,,,,,,,,,
111,64824,888,0.0045596718537468444,1.0,1.0,,,,,,,,,
112,65408,896,0.003479421866258355,1.0,1.0,,,,,,,,,
113,65992,904,0.0047879770801002135,1.0,1.0,0.005783114688907507,0.875,0.875,,,,,,
114,66576,912,0.00430707873993757,1.0,1.0,,,,,,,,,
115,67160,920,0.004626156703366715,1.0,1.0,,,,,,,,,
116,67744,928,0.004630531790434291,1.0,1.0,,,,,,,,,
117,68328,936,0.003953980565306523,1.0,1.0,,,,,,,,,
118,68912,944,0.019292628401068733,0.75,0.75,,,,,,,,,
119,69496,952,0.0031692251850998724,1.0,1.0,,,,,,,,,
120,70080,960,0.0032339423034446766,1.0,1.0,,,,,,,,,
121,70664,968,0.0044431706640022306,1.0,1.0,0.0032452122931172452,1.0,1.0,,,,,,
122,71248,976,0.004055050951705065,1.0,1.0,,,,,,,,,
123,71832,984,0.011081820987209943,0.875,0.875,,,,,,,,,
124,72416,992,0.003905974138829026,1.0,1.0,,,,,,,,,
125,73000,1000,0.006813469654658116,1.0,1.0,,,,,,,,,
126,73584,1008,0.005421089538486177,1.0,1.0,,,,,,,,,
127,74168,1016,0.0034184290037917015,1.0,1.0,,,,,,,,,
128,74752,1024,0.003912711108026651,1.0,1.0,,,,,,,,,
129,75336,1032,0.0033377067868569713,1.0,1.0,0.004004779602218964,1.0,1.0,,,,,,
130,75920,1040,0.011434687990253265,0.875,0.875,,,,,,,,,
131,76504,1048,0.004820627335089177,1.0,1.0,,,,,,,,,
132,77088,1056,0.004575707094476009,1.0,1.0,,,,,,,,,
133,77672,1064,0.016572564824481613,0.625,0.625,,,,,,,,,
134,78256,1072,0.004050588897151515,1.0,1.0,,,,,,,,,
135,78840,1080,0.006836084439894214,0.875,0.875,,,,,,,,,
136,79424,1088,0.006318932453428627,1.0,1.0,,,,,,,,,
137,80008,1096,0.005512556739482856,1.0,1.0,0.005196676584770472,1.0,1.0,,,,,,
138,80592,1104,0.0052882814984089544,1.0,1.0,,,,,,,,,
139,81176,1112,0.004631473339405814,1.0,1.0,,,,,,,,,
140,81760,1120,0.004665541518597663,1.0,1.0,,,,,,,,,
141,82344,1128,0.005446031761512353,1.0,1.0,,,,,,,,,
142,82928,1136,0.005405379275758832,1.0,1.0,,,,,,,,,
143,83512,1144,0.00481619495279203,1.0,1.0,,,,,,,,,
144,84096,1152,0.004622212793582985,1.0,1.0,,,,,,,,,
145,84680,1160,0.003725238479344676,1.0,1.0,0.0038058397117347598,1.0,1.0,,,,,,
146,85264,1168,0.003963963936721263,1.0,1.0,,,,,,,,,
147,85848,1176,0.0035386289330707633,1.0,1.0,,,,,,,,,
148,86432,1184,0.0033248320982452303,1.0,1.0,,,,,,,,,
149,87016,1192,0.0036134622706584054,1.0,1.0,,,,,,,,,
150,87600,1200,0.0034118454246628003,1.0,1.0,,,,,,,,,
151,88184,1208,0.004873010911678561,0.875,0.875,,,,,,,,,
152,88768,1216,0.0033576840803142003,1.0,1.0,,,,,,,,,
153,89352,1224,0.0031952546089615594,1.0,1.0,0.0035971386296359186,1.0,1.0,,,,,,
154,89936,1232,0.0027791437784813098,1.0,1.0,,,,,,,,,
155,90520,1240,0.01370425544790648,0.875,0.875,,,,,,,,,
156,91104,1248,0.006563172706129806,0.875,0.875,,,,,,,,,
157,91688,1256,0.005546890442047918,0.875,0.875,,,,,,,,,
158,92272,1264,0.004133168525733883,1.0,1.0,,,,,,,,,
159,92856,1272,0.003381356429083644,1.0,1.0,,,,,,,,,
160,93440,1280,0.0036126965067806486,1.0,1.0,,,,,,,,,
161,94024,1288,0.0038884559025577545,1.0,1.0,0.014529393589666002,0.875,0.875,,,,,,
162,94608,1296,0.0036212069513342523,1.0,1.0,,,,,,,,,
163,95192,1304,0.004231368588841254,1.0,1.0,,,,,,,,,
164,95776,1312,0.0032696989135895453,1.0,1.0,,,,,,,,,
165,96360,1320,0.007068598111403277,0.875,0.875,,,,,,,,,
166,96944,1328,0.003434196998171109,1.0,1.0,,,,,,,,,
167,97528,1336,0.005161516636888696,1.0,1.0,,,,,,,,,
168,98112,1344,0.004971453958669498,1.0,1.0,,,,,,,,,
169,98696,1352,0.006950993066506406,0.75,0.75,0.003498955826603876,1.0,1.0,,,,,,
170,99280,1360,0.003746415986612949,1.0,1.0,,,,,,,,,
171,99864,1368,0.0027873507358800497,1.0,1.0,,,,,,,,,
172,100448,1376,0.002946795755607401,1.0,1.0,,,,,,,,,
173,101032,1384,0.003341904327838405,1.0,1.0,,,,,,,,,
174,101616,1392,0.0028022930958368475,1.0,1.0,,,,,,,,,
175,102200,1400,0.003133678511751883,1.0,1.0,,,,,,,,,
176,102784,1408,0.0029357015479236598,1.0,1.0,,,,,,,,,
177,103368,1416,0.0026313177944689886,1.0,1.0,0.003633620062789973,1.0,1.0,,,,,,
178,103952,1424,0.0029602496405909387,1.0,1.0,,,,,,,,,
179,104536,1432,0.005396744820691704,0.875,0.875,,,,,,,,,
180,105120,1440,0.0023311825993545276,1.0,1.0,,,,,,,,,
181,105704,1448,0.004661622085992419,1.0,1.0,,,,,,,,,
182,106288,1456,0.0030265833367008055,1.0,1.0,,,,,,,,,
183,106872,1464,0.00590995568259768,0.875,0.875,,,,,,,,,
184,107456,1472,0.0033606510038941195,1.0,1.0,,,,,,,,,
185,108040,1480,0.0029448537096521954,1.0,1.0,0.003000489929382611,1.0,1.0,,,,,,
186,108624,1488,0.002586469347329844,1.0,1.0,,,,,,,,,
187,109208,1496,0.01159602773236263,0.875,0.875,,,,,,,,,
188,109792,1504,0.002763735843349081,1.0,1.0,,,,,,,,,
189,110376,1512,0.00431987081485683,0.875,0.875,,,,,,,,,
190,110960,1520,0.0028955678736106607,1.0,1.0,,,,,,,,,
191,111544,1528,0.0025635007221991974,1.0,1.0,,,,,,,,,
192,112128,1536,0.00305807483576588,1.0,1.0,,,,,,,,,
193,112712,1544,0.0025154767321528488,1.0,1.0,0.003194055868460906,1.0,1.0,,,,,,
194,113296,1552,0.002886821980163102,1.0,1.0,,,,,,,,,
195,113880,1560,0.0026240778831843645,1.0,1.0,,,,,,,,,
196,114464,1568,0.0029164180469435836,1.0,1.0,,,,,,,,,
197,115048,1576,0.002552513357845396,1.0,1.0,,,,,,,,,
198,115632,1584,0.003114896682874344,1.0,1.0,,,,,,,,,
199,116216,1592,0.003401420194508715,1.0,1.0,,,,,,,,,
200,116800,1600,0.002456147308568078,1.0,1.0,,,,,,,,,
201,117384,1608,0.0028042321127979466,1.0,1.0,0.002924314483307621,1.0,1.0,,,,,,
202,117968,1616,0.002925753580664679,1.0,1.0,,,,,,,,,
203,118552,1624,0.0036523012711465216,1.0,1.0,,,,,,,,,
204,119136,1632,0.00253672520897489,1.0,1.0,,,,,,,,,
205,119720,1640,0.004894623569277511,0.875,0.875,,,,,,,,,
206,120304,1648,0.002502779981037489,1.0,1.0,,,,,,,,,
207,120888,1656,0.002178730331449662,1.0,1.0,,,,,,,,,
208,121472,1664,0.001972957474759735,1.0,1.0,,,,,,,,,
209,122056,1672,0.006964600436341534,0.875,0.875,0.002495494468378341,1.0,1.0,,,,,,
210,122640,1680,0.002675850822288181,1.0,1.0,,,,,,,,,
