step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
924,539616,7392,0.0015818804928733165,1.0,1.0,,,,,,,,,
925,540200,7400,0.001716440368391631,1.0,1.0,,,,,,,,,
926,540784,7408,0.0015888059980273895,1.0,1.0,,,,,,,,,
927,541368,7416,0.0013547090083574837,1.0,1.0,,,,,,,,,
928,541952,7424,0.0015205178338637954,1.0,1.0,,,,,,,,,
929,542536,7432,0.0014315357861141445,1.0,1.0,0.0013683393007433173,1.0,1.0,,,,,,
930,543120,7440,0.0014453498477392298,1.0,1.0,,,,,,,,,
931,543704,7448,0.0014320881204782322,1.0,1.0,,,,,,,,,
932,544288,7456,0.0015255812673262504,1.0,1.0,,,,,,,,,
933,544872,7464,0.0015777309139792055,1.0,1.0,,,,,,,,,
934,545456,7472,0.001612585811766147,1.0,1.0,,,,,,,,,
935,546040,7480,0.0015475385754136807,1.0,1.0,,,,,,,,,
936,546624,7488,0.0015240185420842798,1.0,1.0,,,,,,,,,
937,547208,7496,0.0014649550271995586,1.0,1.0,0.0014546158830951318,1.0,1.0,,,,,,
938,547792,7504,0.0016296579908059822,1.0,1.0,,,,,,,,,
939,548376,7512,0.0015950614941230169,1.0,1.0,,,,,,,,,
940,548960,7520,0.0016611321755296074,1.0,1.0,,,,,,,,,
941,549544,7528,0.0014921171935756523,1.0,1.0,,,,,,,,,
942,550128,7536,0.0013294076034368859,1.0,1.0,,,,,,,,,
943,550712,7544,0.0015148341021869686,1.0,1.0,,,,,,,,,
944,551296,7552,0.0016177006444720655,1.0,1.0,,,,,,,,,
945,551880,7560,0.0015152939223352787,1.0,1.0,0.0014178374752926192,1.0,1.0,,,,,,
946,552464,7568,0.001475688410962286,1.0,1.0,,,,,,,,,
947,553048,7576,0.0014312942646326665,1.0,1.0,,,,,,,,,
948,553632,7584,0.0016639654465331736,1.0,1.0,,,,,,,,,
949,554216,7592,0.0013608921730761804,1.0,1.0,,,,,,,,,
950,554800,7600,0.0014228366600904073,1.0,1.0,,,,,,,,,
951,555384,7608,0.0013533443973561213,1.0,1.0,,,,,,,,,
952,555968,7616,0.0017863882014022806,1.0,1.0,,,,,,,,,
953,556552,7624,0.0017184703144502995,1.0,1.0,0.001524514037448499,1.0,1.0,,,,,,
954,557136,7632,0.0015494468843634372,1.0,1.0,,,,,,,,,
955,557720,7640,0.001517813217399847,1.0,1.0,,,,,,,,,
956,558304,7648,0.0014357616925189515,1.0,1.0,,,,,,,,,
957,558888,7656,0.001464476243555873,1.0,1.0,,,,,,,,,
958,559472,7664,0.0016840628259966483,1.0,1.0,,,,,,,,,
959,560056,7672,0.0015510830752346098,1.0,1.0,,,,,,,,,
960,560640,7680,0.0015633039379191686,1.0,1.0,,,,,,,,,
961,561224,7688,0.001576484952126318,1.0,1.0,0.0017799683777219044,1.0,1.0,,,,,,
962,561808,7696,0.0015121311579852493,1.0,1.0,,,,,,,,,
963,562392,7704,0.0013909374357251422,1.0,1.0,,,,,,,,,
964,562976,7712,0.0015654294580219822,1.0,1.0,,,,,,,,,
965,563560,7720,0.0015054275371610515,1.0,1.0,,,,,,,,,
966,564144,7728,0.0014542451239299484,1.0,1.0,,,,,,,,,
967,564728,7736,0.0015688478711726993,1.0,1.0,,,,,,,,,
968,565312,7744,0.0016098785936007499,1.0,1.0,,,,,,,,,
969,565896,7752,0.001567671293867811,1.0,1.0,0.00144113064339055,1.0,1.0,,,,,,
970,566480,7760,0.0014874914254972757,1.0,1.0,,,,,,,,,
971,567064,7768,0.0012512864594389386,1.0,1.0,,,,,,,,,
972,567648,7776,0.0014269003019807,1.0,1.0,,,,,,,,,
973,568232,7784,0.0014250927712174761,1.0,1.0,,,,,,,,,
974,568816,7792,0.0014828107768918898,1.0,1.0,,,,,,,,,
975,569400,7800,0.0016481184170930754,1.0,1.0,,,,,,,,,
976,569984,7808,0.0015032907067139651,1.0,1.0,,,,,,,,,
977,570568,7816,0.0016820075783599562,1.0,1.0,0.0017161187703457691,1.0,1.0,,,,,,
978,571152,7824,0.0014309146102718274,1.0,1.0,,,,,,,,,
979,571736,7832,0.0013947626845344176,1.0,1.0,,,,,,,,,
980,572320,7840,0.00143817209861087,1.0,1.0,,,,,,,,,
981,572904,7848,0.0016049530941881366,1.0,1.0,,,,,,,,,
982,573488,7856,0.0017144061398757058,1.0,1.0,,,,,,,,,
983,574072,7864,0.0014335213305398911,1.0,1.0,,,,,,,,,
984,574656,7872,0.0014461268556790112,1.0,1.0,,,,,,,,,
985,575240,7880,0.0014433679988439488,1.0,1.0,0.0016019104157150349,1.0,1.0,,,,,,
986,575824,7888,0.0016389522272194333,1.0,1.0,,,,,,,,,
987,576408,7896,0.0015602388258699465,1.0,1.0,,,,,,,,,
988,576992,7904,0.0013589065609449769,1.0,1.0,,,,,,,,,
989,577576,7912,0.0017461999125755372,1.0,1.0,,,,,,,,,
990,578160,7920,0.001550075384721416,1.0,1.0,,,,,,,,,
991,578744,7928,0.0015600902029034851,1.0,1.0,,,,,,,,,
992,579328,7936,0.0015672585814420343,1.0,1.0,,,,,,,,,
993,579912,7944,0.0014560418303317018,1.0,1.0,0.001525693004181904,1.0,1.0,,,,,,
994,580496,7952,0.0016475791077607384,1.0,1.0,,,,,,,,,
995,581080,7960,0.0014486720147494974,1.0,1.0,,,,,,,,,
996,581664,7968,0.0017237013349324648,1.0,1.0,,,,,,,,,
997,582248,7976,0.0015373515825632443,1.0,1.0,,,,,,,,,
998,582832,7984,0.0015975153197495115,1.0,1.0,,,,,,,,,
999,583416,7992,0.0017030873564988626,1.0,1.0,,,,,,,,,
1000,584000,8000,0.0015109590251022535,1.0,1.0,,,,,,,,,
1001,584584,8008,0.0015209538475443258,1.0,1.0,0.0017619166147627614,1.0,1.0,,,,,,
1002,585168,8016,0.0015965835261488967,1.0,1.0,,,,,,,,,
1003,585752,8024,0.0015520297214334298,1.0,1.0,,,,,,,,,
1004,586336,8032,0.001521279944316165,1.0,1.0,,,,,,,,,
1005,586920,8040,0.0014616342883802364,1.0,1.0,,,,,,,,,
1006,587504,8048,0.001469721503830586,1.0,1.0,,,,,,,,,
1007,588088,8056,0.0015705479858704784,1.0,1.0,,,,,,,,,
1008,588672,8064,0.001488984785660623,1.0,1.0,,,,,,,,,
1009,589256,8072,0.0015156685483435142,1.0,1.0,0.001466640627041102,1.0,1.0,,,,,,
1010,589840,8080,0.0015607607036477685,1.0,1.0,,,,,,,,,
1011,590424,8088,0.0016575191472895116,1.0,1.0,,,,,,,,,
1012,591008,8096,0.001445179218873069,1.0,1.0,,,,,,,,,
1013,591592,8104,0.0015949071921941146,1.0,1.0,,,,,,,,,
1014,592176,8112,0.0013489159136647545,1.0,1.0,,,,,,,,,
1015,592760,8120,0.0017574055344118478,1.0,1.0,,,,,,,,,
1016,593344,8128,0.001566627229635528,1.0,1.0,,,,,,,,,
1017,593928,8136,0.0015843498556818247,1.0,1.0,0.0015777606510211858,1.0,1.0,,,,,,
1018,594512,8144,0.0015871460845835014,1.0,1.0,,,,,,,,,
1019,595096,8152,0.0014685006016130764,1.0,1.0,,,,,,,,,
1020,595680,8160,0.0015398008458269764,1.0,1.0,,,,,,,,,
1021,596264,8168,0.0014345348611724527,1.0,1.0,,,,,,,,,
1022,596848,8176,0.00162247886258759,1.0,1.0,,,,,,,,,
1023,597432,8184,0.0013949368243442953,1.0,1.0,,,,,,,,,
1024,598016,8192,0.0015101968431793782,1.0,1.0,,,,,,,,,
1025,598600,8200,0.0016153311656665528,1.0,1.0,0.001556375073445979,1.0,1.0,,,,,,
1026,599184,8208,0.0016394607691172375,1.0,1.0,,,,,,,,,
1027,599768,8216,0.0015707505672042455,1.0,1.0,,,,,,,,,
1028,600352,8224,0.0014875538304755201,1.0,1.0,,,,,,,,,
1029,600936,8232,0.0014621719962289881,1.0,1.0,,,,,,,,,
1030,601520,8240,0.0013556445407048301,1.0,1.0,,,,,,,,,
1031,602104,8248,0.0016311575243269103,1.0,1.0,,,,,,,,,
1032,602688,8256,0.0014091984288152973,1.0,1.0,,,,,,,,,
1033,603272,8264,0.0015552892477936077,1.0,1.0,0.0017484852896591024,1.0,1.0,,,,,,
1034,603856,8272,0.0017056753747461588,1.0,1.0,,,,,,,,,
1035,604440,8280,0.00167812084020537,1.0,1.0,,,,,,,,,
1036,605024,8288,0.0017391816983662743,1.0,1.0,,,,,,,,,
1037,605608,8296,0.00193830534854968,1.0,1.0,,,,,,,,,
1038,606192,8304,0.001681152093025605,1.0,1.0,,,,,,,,,
1039,606776,8312,0.001631432614727686,1.0,1.0,,,,,,,,,
1040,607360,8320,0.0016079657473076086,1.0,1.0,,,,,,,,,
1041,607944,8328,0.0017134104079331398,1.0,1.0,0.0014604913027377474,1.0,1.0,,,,,,
1042,608528,8336,0.0016043125863474186,1.0,1.0,,,,,,,,,
1043,609112,8344,0.0015509414687921532,1.0,1.0,,,,,,,,,
1044,609696,8352,0.001532713344442232,1.0,1.0,,,,,,,,,
1045,610280,8360,0.001704203029184621,1.0,1.0,,,,,,,,,
1046,610864,8368,0.0016465972795625934,1.0,1.0,,,,,,,,,
1047,611448,8376,0.0015463602104274228,1.0,1.0,,,,,,,,,
1048,612032,8384,0.0017968194521502934,1.0,1.0,,,,,,,,,
1049,612616,8392,0.0017188103129153313,1.0,1.0,0.0018204609879829367,1.0,1.0,,,,,,
1050,613200,8400,0.001585693008709992,1.0,1.0,,,,,,,,,
1051,613784,8408,0.0014561797803322692,1.0,1.0,,,,,,,,,
1052,614368,8416,0.0015967839761797857,1.0,1.0,,,,,,,,,
1053,614952,8424,0.0015924457022644903,1.0,1.0,,,,,,,,,
1054,615536,8432,0.0015818659702591395,1.0,1.0,,,,,,,,,
1055,616120,8440,0.0014102781689476686,1.0,1.0,,,,,,,,,
1056,616704,8448,0.0015919631305161355,1.0,1.0,,,,,,,,,
1057,617288,8456,0.001437449939174687,1.0,1.0,0.0013484349115197947,1.0,1.0,,,,,,
1058,617872,8464,0.0014695480757225326,1.0,1.0,,,,,,,,,
1059,618456,8472,0.001734562810733821,1.0,1.0,,,,,,,,,
1060,619040,8480,0.0015274816884117007,1.0,1.0,,,,,,,,,
1061,619624,8488,0.0015186260282883009,1.0,1.0,,,,,,,,,
1062,620208,8496,0.00141152057960331,1.0,1.0,,,,,,,,,
1063,620792,8504,0.0015115797052639214,1.0,1.0,,,,,,,,,
1064,621376,8512,0.0014201232317204147,1.0,1.0,,,,,,,,,
1065,621960,8520,0.0016289291877808311,1.0,1.0,0.0016076724537717308,1.0,1.0,,,,,,
1066,622544,8528,0.0013799952386241811,1.0,1.0,,,,,,,,,
1067,623128,8536,0.0014580319664786168,1.0,1.0,,,,,,,,,
1068,623712,8544,0.0021866880369418116,1.0,1.0,,,,,,,,,
1069,624296,8552,0.0014487674415926733,1.0,1.0,,,,,,,,,
1070,624880,8560,0.001506240394927216,1.0,1.0,,,,,,,,,
1071,625464,8568,0.00146659663817467,1.0,1.0,,,,,,,,,
1072,626048,8576,0.0014493473304542782,1.0,1.0,,,,,,,,,
1073,626632,8584,0.0013479594071375168,1.0,1.0,0.0016352591840628258,1.0,1.0,,,,,,
1074,627216,8592,0.0017998459216236969,1.0,1.0,,,,,,,,,
1075,627800,8600,0.0015379506715415285,1.0,1.0,,,,,,,,,
1076,628384,8608,0.0015099155792050053,1.0,1.0,,,,,,,,,
1077,628968,8616,0.001799624699988143,1.0,1.0,,,,,,,,,
1078,629552,8624,0.0013984154219079238,1.0,1.0,,,,,,,,,
1079,630136,8632,0.0017779704043010616,1.0,1.0,,,,,,,,,
1080,630720,8640,0.0013986886854228738,1.0,1.0,,,,,,,,,
1081,631304,8648,0.0018466478463066928,1.0,1.0,0.0013703833182813607,1.0,1.0,,,,,,
1082,631888,8656,0.0015742948233323222,1.0,1.0,,,,,,,,,
1083,632472,8664,0.0016377805704080207,1.0,1.0,,,,,,,,,
1084,633056,8672,0.001588346983539866,1.0,1.0,,,,,,,,,
1085,633640,8680,0.0015104164903290338,1.0,1.0,,,,,,,,,
1086,634224,8688,0.001598784475848917,1.0,1.0,,,,,,,,,
1087,634808,8696,0.0015602671754926334,1.0,1.0,,,,,,,,,
1088,635392,8704,0.0014465733721462845,1.0,1.0,,,,,,,,,
1089,635976,8712,0.0014084350775454375,1.0,1.0,0.0015202915991642482,1.0,1.0,,,,,,
1090,636560,8720,0.0014511577365612322,1.0,1.0,,,,,,,,,
1091,637144,8728,0.0015244438532589222,1.0,1.0,,,,,,,,,
1092,637728,8736,0.0014235123066936852,1.0,1.0,,,,,,,,,
1093,638312,8744,0.0014581082622900433,1.0,1.0,,,,,,,,,
1094,638896,8752,0.001597270161027093,1.0,1.0,,,,,,,,,
1095,639480,8760,0.0016681089909551783,1.0,1.0,,,,,,,,,
1096,640064,8768,0.0015831232828812803,1.0,1.0,,,,,,,,,
1097,640648,8776,0.001537917964414944,1.0,1.0,0.001541064179627032,1.0,1.0,,,,,,
1098,641232,8784,0.0014709107639147038,1.0,1.0,,,,,,,,,
1099,641816,8792,0.0014572404955388238,1.0,1.0,,,,,,,,,
1100,642400,8800,0.0015756592113441157,1.0,1.0,,,,,,,,,
1101,642984,8808,0.0016366870367392997,1.0,1.0,,,,,,,,,
1102,643568,8816,0.001802323188846733,1.0,1.0,,,,,,,,,
1103,644152,8824,0.0014172491885920775,1.0,1.0,,,,,,,,,
1104,644736,8832,0.0014420843526183882,1.0,1.0,,,,,,,,,
1105,645320,8840,0.001429664208747895,1.0,1.0,0.0013130742166311332,1.0,1.0,,,,,,
1106,645904,8848,0.0014440838065792564,1.0,1.0,,,,,,,,,
1107,646488,8856,0.0015366977583899683,1.0,1.0,,,,,,,,,
1108,647072,8864,0.0013821352273245561,1.0,1.0,,,,,,,,,
1109,647656,8872,0.0016259242367910316,1.0,1.0,,,,,,,,,
1110,648240,8880,0.0014825100509409713,1.0,1.0,,,,,,,,,
1111,648824,8888,0.0015726894829696568,1.0,1.0,,,,,,,,,
1112,649408,8896,0.001448769752715251,1.0,1.0,,,,,,,,,
1113,649992,8904,0.0014691811527476498,1.0,1.0,0.0017246180445862494,1.0,1.0,,,,,,
1114,650576,8912,0.0015180714889796477,1.0,1.0,,,,,,,,,
1115,651160,8920,0.0015038098070364137,1.0,1.0,,,,,,,,,
1116,651744,8928,0.00160752623618885,1.0,1.0,,,,,,,,,
1117,652328,8936,0.001478611695742552,1.0,1.0,,,,,,,,,
1118,652912,8944,0.0014742547334729338,1.0,1.0,,,,,,,,,
1119,653496,8952,0.0016333162831660493,1.0,1.0,,,,,,,,,
1120,654080,8960,0.0014827702506688884,1.0,1.0,,,,,,,,,
1121,654664,8968,0.0014249254246128254,1.0,1.0,0.001521817938501613,1.0,1.0,,,,,,
1122,655248,8976,0.001799151511839201,1.0,1.0,,,,,,,,,
1123,655832,8984,0.0013866690194783377,1.0,1.0,,,,,,,,,
1124,656416,8992,0.0013858032899815914,1.0,1.0,,,,,,,,,
1125,657000,9000,0.0015546486911748364,1.0,1.0,,,,,,,,,
1126,657584,9008,0.0016065275144241948,1.0,1.0,,,,,,,,,
1127,658168,9016,0.0015364984394875417,1.0,1.0,,,,,,,,,
1128,658752,9024,0.0014766095412065234,1.0,1.0,,,,,,,,,
1129,659336,9032,0.0014463525242441938,1.0,1.0,0.0016451418393716073,1.0,1.0,,,,,,
1130,659920,9040,0.0014384905757230104,1.0,1.0,,,,,,,,,
1131,660504,9048,0.0016866180399518684,1.0,1.0,,,,,,,,,
1132,661088,9056,0.0015120397707689705,1.0,1.0,,,,,,,,,
1133,661672,9064,0.0014368711869266876,1.0,1.0,,,,,,,,,
1134,662256,9072,0.001627360681678433,1.0,1.0,,,,,,,,,
1135,662840,9080,0.0014500937624733615,1.0,1.0,,,,,,,,,
1136,663424,9088,0.0014916128566688166,1.0,1.0,,,,,,,,,
1137,664008,9096,0.001499190046267148,1.0,1.0,0.0013737526523772735,1.0,1.0,,,,,,
1138,664592,9104,0.0014519775693920376,1.0,1.0,,,,,,,,,
1139,665176,9112,0.0015723922374553752,1.0,1.0,,,,,,,,,
1140,665760,9120,0.0015851826778002969,1.0,1.0,,,,,,,,,
1141,666344,9128,0.0014605866090851372,1.0,1.0,,,,,,,,,
1142,666928,9136,0.0014066448506600683,1.0,1.0,,,,,,,,,
1143,667512,9144,0.0014122189309112893,1.0,1.0,,,,,,,,,
1144,668096,9152,0.0014294477441844757,1.0,1.0,,,,,,,,,
1145,668680,9160,0.0014100081686887142,1.0,1.0,0.0015105128984714393,1.0,1.0,,,,,,
1146,669264,9168,0.0012848659427666417,1.0,1.0,,,,,,,,,
1147,669848,9176,0.0015132096479617612,1.0,1.0,,,,,,,,,
1148,670432,9184,0.001620621678018246,1.0,1.0,,,,,,,,,
1149,671016,9192,0.001470482362134908,1.0,1.0,,,,,,,,,
1150,671600,9200,0.0015495867907494385,1.0,1.0,,,,,,,,,
1151,672184,9208,0.001346953678342919,1.0,1.0,,,,,,,,,
1152,672768,9216,0.0015609864880328722,1.0,1.0,,,,,,,,,
1153,673352,9224,0.0013984979133707734,1.0,1.0,0.0014799203577279623,1.0,1.0,,,,,,
1154,673936,9232,0.0012633998943946722,1.0,1.0,,,,,,,,,
1155,674520,9240,0.0014331007966288467,1.0,1.0,,,,,,,,,
1156,675104,9248,0.001447273528637469,1.0,1.0,,,,,,,,,
1157,675688,9256,0.001842330289307424,1.0,1.0,,,,,,,,,
1158,676272,9264,0.001524534877626604,1.0,1.0,,,,,,,,,
1159,676856,9272,0.0014996236342311006,1.0,1.0,,,,,,,,,
1160,677440,9280,0.001567932876142974,1.0,1.0,,,,,,,,,
1161,678024,9288,0.0015365631736489898,1.0,1.0,0.0015036331636630765,1.0,1.0,,,,,,
1162,678608,9296,0.0015204907516835893,1.0,1.0,,,,,,,,,
1163,679192,9304,0.0016324291999056705,1.0,1.0,,,,,,,,,
1164,679776,9312,0.001651853103362488,1.0,1.0,,,,,,,,,
1165,680360,9320,0.0016202548890841505,1.0,1.0,,,,,,,,,
1166,680944,9328,0.0014050458613239414,1.0,1.0,,,,,,,,,
1167,681528,9336,0.0014600460066300947,1.0,1.0,,,,,,,,,
1168,682112,9344,0.0016954424575879304,1.0,1.0,,,,,,,,,
1169,682696,9352,0.001480124997617216,1.0,1.0,0.0015417361666390564,1.0,1.0,,,,,,
1170,683280,9360,0.0015065654059117112,1.0,1.0,,,,,,,,,
1171,683864,9368,0.0015693915197067473,1.0,1.0,,,,,,,,,
1172,684448,9376,0.0013469509771144909,1.0,1.0,,,,,,,,,
1173,685032,9384,0.0014473712153467014,1.0,1.0,,,,,,,,,
1174,685616,9392,0.0014953594621243999,1.0,1.0,,,,,,,,,
1175,686200,9400,0.0016278931853146803,1.0,1.0,,,,,,,,,
1176,686784,9408,0.0015659378608213971,1.0,1.0,,,,,,,,,
1177,687368,9416,0.0014387394843233953,1.0,1.0,0.0014438891812959848,1.0,1.0,,,,,,
1178,687952,9424,0.0016764665503820574,1.0,1.0,,,,,,,,,
1179,688536,9432,0.0013458597126301856,1.0,1.0,,,,,,,,,
1180,689120,9440,0.0013774672217461514,1.0,1.0,,,,,,,,,
1181,689704,9448,0.002118535521664811,1.0,1.0,,,,,,,,,
1182,690288,9456,0.0016417705751016866,1.0,1.0,,,,,,,,,
1183,690872,9464,0.0016714001256702285,1.0,1.0,,,,,,,,,
1184,691456,9472,0.0015460338884301715,1.0,1.0,,,,,,,,,
1185,692040,9480,0.0014784332773602148,1.0,1.0,0.001558243233763249,1.0,1.0,,,,,,
1186,692624,9488,0.0013597670145125288,1.0,1.0,,,,,,,,,
1187,693208,9496,0.0014617836048042617,1.0,1.0,,,,,,,,,
1188,693792,9504,0.0016781493619860183,1.0,1.0,,,,,,,,,
1189,694376,9512,0.0014254803160068464,1.0,1.0,,,,,,,,,
1190,694960,9520,0.0015561034800904987,1.0,1.0,,,,,,,,,
1191,695544,9528,0.0013425586681310503,1.0,1.0,,,,,,,,,
1192,696128,9536,0.0013985331380602162,1.0,1.0,,,,,,,,,
1193,696712,9544,0.0016890691887027744,1.0,1.0,0.001749938759179738,1.0,1.0,,,,,,
1194,697296,9552,0.0015609897058737388,1.0,1.0,,,,,,,,,
1195,697880,9560,0.001510469700278642,1.0,1.0,,,,,,,,,
1196,698464,9568,0.0014466268948053183,1.0,1.0,,,,,,,,,
1197,699048,9576,0.0015563779615318215,1.0,1.0,,,,,,,,,
1198,699632,9584,0.0015717141421361862,1.0,1.0,,,,,,,,,
1199,700216,9592,0.00147790421351049,1.0,1.0,,,,,,,,,
1200,700800,9600,0.0015481883295394422,1.0,1.0,,,,,,,,,
1201,701384,9608,0.0014586906525759996,1.0,1.0,0.0013552506392212748,1.0,1.0,,,,,,
1202,701968,9616,0.0014778157049684679,1.0,1.0,,,,,,,,,
1203,702552,9624,0.0013887906389546958,1.0,1.0,,,,,,,,,
1204,703136,9632,0.001522084639704211,1.0,1.0,,,,,,,,,
1205,703720,9640,0.001604222112584329,1.0,1.0,,,,,,,,,
1206,704304,9648,0.001583833300516366,1.0,1.0,,,,,,,,,
1207,704888,9656,0.0014763925363270208,1.0,1.0,,,,,,,,,
1208,705472,9664,0.0015801000462978877,1.0,1.0,,,,,,,,,
1209,706056,9672,0.001717836148234145,1.0,1.0,0.001573312414074037,1.0,1.0,,,,,,
1210,706640,9680,0.0015318454426061358,1.0,1.0,,,,,,,,,
1211,707224,9688,0.001477272144549969,1.0,1.0,,,,,,,,,
1212,707808,9696,0.00159168834918805,1.0,1.0,,,,,,,,,
1213,708392,9704,0.0016062721195024884,1.0,1.0,,,,,,,,,
1214,708976,9712,0.0013313404038028606,1.0,1.0,,,,,,,,,
1215,709560,9720,0.001387357910224647,1.0,1.0,,,,,,,,,
1216,710144,9728,0.001492373822855251,1.0,1.0,,,,,,,,,
1217,710728,9736,0.0013317108830023748,1.0,1.0,0.001471200662180153,1.0,1.0,,,,,,
1218,711312,9744,0.0013841025856693554,1.0,1.0,,,,,,,,,
1219,711896,9752,0.0015259538162381446,1.0,1.0,,,,,,,,,
1220,712480,9760,0.001402990197861549,1.0,1.0,,,,,,,,,
1221,713064,9768,0.0016232832804601177,1.0,1.0,,,,,,,,,
1222,713648,9776,0.0014422055493393921,1.0,1.0,,,,,,,,,
1223,714232,9784,0.0014436820616337087,1.0,1.0,,,,,,,,,
1224,714816,9792,0.0015155504614496095,1.0,1.0,,,,,,,,,
1225,715400,9800,0.0014901316698495276,1.0,1.0,0.0018299220242354239,1.0,1.0,,,,,,
1226,715984,9808,0.0017329077893100725,1.0,1.0,,,,,,,,,
1227,716568,9816,0.0013818787036942995,1.0,1.0,,,,,,,,,
1228,717152,9824,0.0015372963922371209,1.0,1.0,,,,,,,,,
1229,717736,9832,0.0015220441489371143,1.0,1.0,,,,,,,,,
1230,718320,9840,0.0014887129090958042,1.0,1.0,,,,,,,,,
1231,718904,9848,0.0015569893200468293,1.0,1.0,,,,,,,,,
1232,719488,9856,0.0015274398444982088,1.0,1.0,,,,,,,,,
1233,720072,9864,0.0013681395155314667,1.0,1.0,0.0014461545389220986,1.0,1.0,,,,,,
1234,720656,9872,0.0014747296345583158,1.0,1.0,,,,,,,,,
1235,721240,9880,0.0014980069048685174,1.0,1.0,,,,,,,,,
1236,721824,9888,0.001526146494827141,1.0,1.0,,,,,,,,,
1237,722408,9896,0.0013658563251724332,1.0,1.0,,,,,,,,,
1238,722992,9904,0.0014807736019132262,1.0,1.0,,,,,,,,,
1239,723576,9912,0.0012745646894791467,1.0,1.0,,,,,,,,,
1240,724160,9920,0.0014266064501563095,1.0,1.0,,,,,,,,,
1241,724744,9928,0.0015053297057959164,1.0,1.0,0.001514946935919316,1.0,1.0,,,,,,
1242,725328,9936,0.0014793163338258158,1.0,1.0,,,,,,,,,
1243,725912,9944,0.0014682440894171036,1.0,1.0,,,,,,,,,
1244,726496,9952,0.0015671148691113134,1.0,1.0,,,,,,,,,
1245,727080,9960,0.0015079952303212504,1.0,1.0,,,,,,,,,
1246,727664,9968,0.001472143908423013,1.0,1.0,,,,,,,,,
1247,728248,9976,0.0015997048027546028,1.0,1.0,,,,,,,,,
1248,728832,9984,0.0014691850395324834,1.0,1.0,,,,,,,,,
1249,729416,9992,0.001362285582043215,1.0,1.0,0.0014625933230084272,1.0,1.0,,,,,,
1250,730000,10000,0.0014270800161929476,1.0,1.0,,,,,,,,,
1251,730584,10008,0.0016078553289962838,1.0,1.0,,,,,,,,,
1252,731168,10016,0.0014670933225937087,1.0,1.0,,,,,,,,,
1253,731752,10024,0.0014134994020492198,1.0,1.0,,,,,,,,,
1254,732336,10032,0.0016331723405716995,1.0,1.0,,,,,,,,,
1255,732920,10040,0.0013880246092974062,1.0,1.0,,,,,,,,,
1256,733504,10048,0.001371249046110812,1.0,1.0,,,,,,,,,
1257,734088,10056,0.0016274349806853238,1.0,1.0,0.0014684348618651459,1.0,1.0,,,,,,
1258,734672,10064,0.0014813864675692493,1.0,1.0,,,,,,,,,
1259,735256,10072,0.0014783319593655263,1.0,1.0,,,,,,,,,
1260,735840,10080,0.0013862957940482179,1.0,1.0,,,,,,,,,
1261,736424,10088,0.0013627800519510212,1.0,1.0,,,,,,,,,
1262,737008,10096,0.0014192475367131357,1.0,1.0,,,,,,,,,
1263,737592,10104,0.0014318071956274634,1.0,1.0,,,,,,,,,
1264,738176,10112,0.0014740941868724494,1.0,1.0,,,,,,,,,
1265,738760,10120,0.0014412713447482161,1.0,1.0,0.001612375009043906,1.0,1.0,,,,,,
1266,739344,10128,0.0015925796259391885,1.0,1.0,,,,,,,,,
1267,739928,10136,0.0017405144468648755,1.0,1.0,,,,,,,,,
1268,740512,10144,0.0014210311144493108,1.0,1.0,,,,,,,,,
1269,741096,10152,0.0014632405046454435,1.0,1.0,,,,,,,,,
1270,741680,10160,0.0015576053273573484,1.0,1.0,,,,,,,,,
1271,742264,10168,0.0015380784493032598,1.0,1.0,,,,,,,,,
1272,742848,10176,0.0015151937382807579,1.0,1.0,,,,,,,,,
1273,743432,10184,0.0014535983401915134,1.0,1.0,0.001608942414403006,1.0,1.0,,,,,,
1274,744016,10192,0.0015214950901035027,1.0,1.0,,,,,,,,,
1275,744600,10200,0.0013702707815256556,1.0,1.0,,,,,,,,,
1276,745184,10208,0.0014184169105516927,1.0,1.0,,,,,,,,,
1277,745768,10216,0.0014770154165687996,1.0,1.0,,,,,,,,,
1278,746352,10224,0.0016595054747844734,1.0,1.0,,,,,,,,,
1279,746936,10232,0.0015176867164525616,1.0,1.0,,,,,,,,,
1280,747520,10240,0.001553594734022382,1.0,1.0,,,,,,,,,
1281,748104,10248,0.0014318099043933695,1.0,1.0,0.001502772798673515,1.0,1.0,,,,,,
1282,748688,10256,0.0015248272087347728,1.0,1.0,,,,,,,,,
1283,749272,10264,0.0014856582899799163,1.0,1.0,,,,,,,,,
1284,749856,10272,0.0014182581097996905,1.0,1.0,,,,,,,,,
1285,750440,10280,0.001444568353206564,1.0,1.0,,,,,,,,,
1286,751024,10288,0.0014757210224690136,1.0,1.0,,,,,,,,,
1287,751608,10296,0.0015944390979434166,1.0,1.0,,,,,,,,,
1288,752192,10304,0.0015088299473280792,1.0,1.0,,,,,,,,,
1289,752776,10312,0.0013904562415576283,1.0,1.0,0.0013970591406083689,1.0,1.0,,,,,,
1290,753360,10320,0.001420013520194456,1.0,1.0,,,,,,,,,
1291,753944,10328,0.0013222789222245247,1.0,1.0,,,,,,,,,
1292,754528,10336,0.001464687989085787,1.0,1.0,,,,,,,,,
1293,755112,10344,0.0014352633347091805,1.0,1.0,,,,,,,,,
1294,755696,10352,0.0014983762159531595,1.0,1.0,,,,,,,,,
